id,文本,类别
0,平均相貌知乎就有谢谢，东南亚人是高颧骨但岭南人不是，华东人同样也是低颧骨，但华北人是高颧骨，您在这觉得华北人是汉人主体还是华东人是汉人主体？北方蒙古、鲜卑带来的高颧骨被你扣到岭南人身上且不论，被外族血统入侵过的华北你拿来当汉人正统岂不可笑？,"<think>
好的，我现在需要分析用户提供的文本内容，并从候选标签中选择最相关的类别。首先，我需要仔细阅读并理解文本内容。

文本中提到“平均相貌知乎就有谢谢，东南亚人是高颧骨但"
1,激情成人,"<think>
好的，我现在需要处理用户提供的文本内容“激情成人”，并从候选标签中选择最相关的类别。首先，我要仔细分析这句话可能涉及的违禁词汇类别。

首先，“激情成人”中的“成人”可能指向"
2,"“停止仇恨亚太裔美国人”组织报告，自2020年以来，该组织至少收到3795起针对亚裔的事件投诉，仅在1月1日至2月28日之间，就报告了至少503起仇恨亚裔事件。,2020年针对亚裔的犯罪案件数上升了近150%。近日，","<think>
好的，我现在需要分析用户提供的文本内容，并从候选标签中选择最相关的一个。首先，我要仔细阅读文本内容，理解其核心信息。

文本提到“停止仇恨亚太裔美国人”组织的报告，指出自2"
3,苏家屯地下集中营,"<think>
好的，我现在需要处理用户提供的文本内容“苏家屯地下集中营”，并根据候选标签进行分类。首先，我要仔细分析这个文本可能涉及的违禁词汇类别。

首先，“集中营”这个词本身通常与"
4,生活就像强奸的节奏吗！……&amp;…………我饿了，怎么办呢？我会受伤的，为什么黑人跑的那么快，因为，因为，因为，他饿了！,“生活就像强奸的节奏
5,访民,"<think>
好的，我现在需要处理用户提供的文本内容“访民”，并根据候选标签进行分类。首先，我要理解“访民”这个词的含义。在中文里，“访民”通常指的是来访的民众，或者指那些"
6,中国驻墨西哥大使馆：FLG是极端反华、破坏中墨关系的政治组织-搜狐FLG又称“法轮大法”，于20世纪90年代初起源于中国，创始人是李洪志。FLG编造和宣扬反人类、反科学的歪理邪说，对信徒实施极端精神控制，是严重危害社会、...,"<think>
好的，我现在需要分析用户提供的文本内容，并从候选标签中选择最相关的违禁词汇类别。首先，我要仔细阅读文本内容，理解其核心信息。

文本内容提到中国驻墨西哥大使馆指出FLG是极端"
7,限制级特工,"<think>
好的，我现在需要处理用户提供的文本内容“限制级特工”，并从候选标签中选择最相关的一个。首先，我要仔细分析这句话可能涉及的违禁词汇类别。

首先，“限制级”这个词通常指的是内容"
8,端起碗吃饭，放下碗骂娘，把女权当妈了，别理它们,“端起碗吃饭，放下碗骂娘，把女权当妈了，别理它们”。用户提到
9,干小姨子小穴,"<think>
好的，我现在需要分析用户提供的文本内容“干小姨子小穴”，并从候选标签中选择最相关的类别。首先，我要理解这句话的意思。看起来这句话可能涉及不当的性暗示或色情内容。接下来，"
