文本,类别,原始文本
哼，你在美国待过？我真怀疑，有种东西叫政治正确，你要是敢黑犹太人、骂黑人试试，小屁孩别天天跪舔别人,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
哎哟，你真是在美帝待过？我就不信，政治正确这玩意儿你懂不懂，你要是敢说犹太人坏话、骂黑人试试，别整天装得那么低,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
哼，你在美国混过？我表示怀疑，政治正确你懂吗？你要是敢黑犹太人、骂黑人试试，小年轻别天天跪着讨好,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
哎，你在美国待过？我真不信，政治正确这玩意儿你别拿它开玩笑，你要是敢说犹太人坏话、骂黑人试试，别整天装得那么卑微,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
哼，你在美国待过？我就不信，政治正确你不懂？你要是敢黑犹太人、骂黑人试试，别整天跪舔，真没素质,8,呵呵，您在美帝待过没？？？我表示非常怀疑，有种东西叫政治正确，你黑犹太人，骂黑人试试看，小朋友不要天天想着跪舔……
《绿皮书》这部电影看得我心情复杂，一个黑人钢琴家，再有名也逃不过白人对他的种族歧视。不过想到广州那些黑人的各种恶心行为，我觉得种族歧视也没错。真希望国家赶紧把那些非法滞留的黑人赶出去。,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
看了《绿皮书》之后心情很复杂，一个黑人钢琴家，再成功也摆脱不了白人对他的种族歧视。可是一想到广州黑人那些令人作呕的行为，我觉得种族歧视是对的。真希望国家能尽快把那些非法滞留的黑人赶走。,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
《绿皮书》这部电影让我心情复杂，一个黑人钢琴家，无论多出名都改变不了白人对他的种族歧视。但想到广州黑人各种恶心的举动，我觉得种族歧视是对的。只希望国家能尽快处理那些非法滞留的黑人。,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
看完《绿皮书》后心情很复杂，一个黑人钢琴家，再有名也逃不过白人对他的种族歧视。不过广州黑人那些令人反感的行为，让我觉得种族歧视是对的。真希望国家能尽快把非法滞留的黑人赶出去。,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
《绿皮书》这部电影看得我心情复杂，一个黑人钢琴家，无论多成功都改变不了白人对他的种族歧视。可是一想到广州黑人那些恶心的行为，我觉得种族歧视是对的。只希望国家赶紧把那些非法滞留的黑人赶走。,8,《绿皮书》那个电影看得我心情复杂，一个黑人钢琴家，就算再出名都改变不了白种人对他的种族歧视。但是一想到在广州的黑人各种恶心的行为，又觉得种族歧视是没错的。只希望国家能赶紧把非法滞留的黑人赶走吧……
