id,类别,文本
7901,7,"""人口红利""变""人矿"" 网络热词被官方封杀 人矿是把人当成没有感情的矿产资源，即“读20年书，还30年房贷，养20年医院”，从生下来就被作为消耗品使用的中国人。这一词近日在中国社交网络上流传，引发网友们的热烈讨论，也被官方屏蔽。本文分析了中国官方对人的价值观，以及人矿的历史和现实背景。"
20978,6,天安门广场
4312,0,东北人，觉得，看上去，有点恶心了
7384,9,做爱实在真有劲
16145,7,北京某中学男生坠楼疑云重重，校方处理方式遭遇公众质疑近日，北京某中学一名男生坠楼身亡，家属怀疑死因与校园暴力有关。死者曾多次向家人透露在学校遭受欺凌，但校方对事件的处理不透明，引发了广泛关注和抗议
4694,9,阴户
20125,9,成人论坛
23088,0,台湾人 真正被大陆统治也就二十多年 孤悬海外 吴越呢 文兴教化 有什么资格说独立 说独立的对得起祖宗？垃圾
10121,8,说不喜欢黑人就是歧视，说白人傻大个就不是歧视，说黄人力量差也不是歧视，合着反歧视就是为黑人准备的
664,9,哇嘎成人三级
16628,6,操朝鲜
16852,6,捌久政治风波
9843,3,售军用
16417,9,免费黄色电影
4848,9,性技巧
11516,6,呼吁为六四平反
16524,2,这种极端田园女权微博上很多的 原po转发里不少都是 虽然我也一直为女性说话 但是这种无脑反婚反育的着实受不了
17095,0,东北人也吃不了。。。我闻就恶心，一看你发图我感觉都问道那股死味了= =
8438,4,你这种人就应该关在笼子里，女人下班回家拉出来把你的金针菇吊用钢丝球刷一刷，把两只胳膊塞进你的屁眼里乱戳，发泄完再关回去，让你做鸭专门伺候老男人
12153,2,是的，我也看到好多www他们反正有恃无恐嘛，反正到底了也有底层女给他们拖着
17811,8,嫁给黑人的女人，毫无疑问，都是来自穷困家庭。为了活着出人头地而已。
4066,7,妈个逼的操死你们我要把你们全杀了
18351,9,翘臀嫩逼
21797,8,很显然，CNN有双重标准，如果一边对白人警察射杀黑人说是syste微侵犯(MA)tic discrimination以及white supre微侵犯(MA)cy，而说另一边亚裔和白人被黑人辱骂、抢劫、殴打、虐待说是anecdotal evidence，那就很虚伪。
16838,3,道教的阴阳五行理论如何影响中国古代的医学和哲学发展？
15013,9,美女b毛图
7753,9,风流艳世录下载
15442,2,"我之前还关注过那个鸡姐和我是吃吃 去年他们网暴别人然后反过来被别人网暴了 就双标的说“网暴” 那个时候我就取关了 真的很恶心 然后还是有一些人在底下坚定不移的支持他们 给他们找理由 我真的,因为微博那些就算现在看起来不错了 实际上扒开里面都是烂的。。只是为了吸引更多人的目光给自己造人设 从中获取利益（钱）这些人的粉丝群体基本上都是女性 不知道是太好骗还是太心软还是太傻还是读书少。。,你说的确实是 但是微博着名的几个gay真的,双标罢了 遇事不要慌 先打一手歧视txl的牌 真的恶心那些把自己性取向当挡箭牌的人"
18013,4,海王刚出来天天说长得好看啊这那的 殊不知当初跟德普结婚就是靠xx 出了名的德州表子 很不想用这个词但是这是她自己火之前用来形容她自己的 靠裸照博眼球 靠犯骚上位 真的挺绝一女的 满嘴谎言
14682,8,暴力抢劫大多与黑人有关。警察的反应也是没有办法。
12674,9,哥哥的肉棒好长啊
13495,0,安徽？安徽捡垃圾的太多了。北京的废品收购站都是安徽人开的。安徽人穷。可穷了。还没文化。还粗鲁。
9378,4,田园女权：把一切复杂的问题用性别的角度去解释的女权主义者？（尝试定义
6574,6,wu er kai xi
10806,6,发伦功
9939,6,六四遇难
23315,9,露出林心乳
13887,9,下面湿
17417,6,分裂中国
8810,9,男人不票娼
17700,8,可以说有些黑人的思想很幼稚，这也是美国人教育分层的结果，大部分黑人都被快乐教育（放牛班）了
5398,6,政绩就是神吹
18945,9,手伸到两腿间
10739,9,365淫色贴图
19247,8,"欧美大国，基本都是「民族国家」。,你以为美国是移民国家？那是假象！,美国的核心是盎撒+犹太。,其他不过是工具和奴隶而已。,种族歧视的根源是什么？,种族歧视的根源就是：,满身种族歧视原罪，几乎杀光当地原住民，"
993,6,陈s扁
11695,6,京报刊六四照片
23864,6,横批一国两制
11189,0,看吧 上海人说上海话你们说他们排外 四川人在四川说四川话跟上海人在上海说上海话有什么区别
16382,0,我觉得在地域黑的这个话题排除一部分人可能在生活中确确实实被HN的人坑过。但我感觉大部分人还是跟风来的多！我一福建的我也见过福建那些恶心人
2142,9,大逼里头有怪味
15893,6,吾尔剀西
4779,6,打压异族
3629,9,糙你妈
12436,9,壮阳保健
18674,8,不是这个道理啊，那个印度小哥完全在偷换概念。脏了的盘子用纸擦没水冲干净，但是屁股上的shi可不是盘子里的食物啊，那是极度恶心和充满细菌或者虫卵的排泄物。细菌是水洗不掉的，而印度人直接用手接触shi好么，
9499,6,法律诈骗化
9335,0,台湾不有个给动物做安乐死的妹子被网友喷的抑郁自杀了么？规则并不能让喷子闭嘴，他们并不是谁对喷谁，而是谁看起来比较弱就喷谁
8174,8,"法国先例，原生白人走向灭亡。,中国人首先要思考一个问题，谁在中国引入黑人。黑人真的能在没有国家支持的情况下大量进入中国吗？还是说个别集体利益集团就能大量引入黑人？,其次思考一个问题，引入黑人会造成什么后果，犯罪率增高，社会风气变差，"
19552,9,淫荡美女医生
12534,7,上海哪些超市没有监控器
13586,0,身为北京人，看见那个大V感受到的只有恶心。我还有身边很多的北京人对外省人没有任何歧视，更不会开地图炮。希望能代表北京人给题主一个诚挚的道歉
12273,8,"在美五年,其实还挺常受到歧视的,细说两件事吧,大概是2018年,在纽约法拉盛（美东最大的华人区）在一条窄路（一边一个车道那种）等红灯,所以我左边就是对向的车,应该是那种很破很破的土星轿车,2005年以前的款,车里一男三女,男司机看起来是中东"
15550,4,第一个是一堆混蛋。第二个才令人窒息，明知有出路但不走，为现实找尽理由，她倾诉的目的不是解决问题，而是让你理解她，她有苦衷，她无能为力。毕竟开辟新生活太辛苦，维持原有生活最简单。【明日复明日，明日何其多！ 日日待明日，万事成蹉跎。世人皆被明日累，明日无穷老将至。】知易行难。
14101,6,安拉
18063,8,"我不嘲笑他,，但是一个美国人和我有什么关系,，他要是因为病毒歧视中国人那我巴不得他死"
5749,6,遭警察殴打
21944,6,64腐败
1409,6,进攻台湾
23820,8,我一个大老爷们，也被黑女人明目张胆的摸过不少次，你说呢？我觉得，对黑人，全部打死没有问题
16242,6,法轮FA*Lun
23897,8,这，理论太强了吧。放眼望去大街上黄种人都是“低调”做人的，说白了就是夹着屁股，被人嘲讽挖苦不敢声张，受到委屈必须要找“合法途径”解决，说白了就是不了了之。长期以来黑人被打压自不必多说，但是他们勇于反抗，
